filename,pred
dataset\1\1.jpg,1
dataset\1\10.jpg,1
dataset\1\100.jpg,1
dataset\1\101.jpg,1
dataset\1\102.jpg,1
dataset\1\103.jpg,1
dataset\1\104.jpg,1
dataset\1\105.jpg,1
dataset\1\106.jpg,1
dataset\1\107.jpg,1
dataset\1\108.jpg,1
dataset\1\109.jpg,1
dataset\1\11.jpg,1
dataset\1\110.jpg,1
dataset\1\111.jpg,1
dataset\1\112.jpg,1
dataset\1\113.jpg,1
dataset\1\114.jpg,1
dataset\1\115.jpg,1
dataset\1\116.jpg,1
dataset\1\117.jpg,1
dataset\1\118.jpg,1
dataset\1\119.jpg,1
dataset\1\12.jpg,1
dataset\1\120.jpg,1
dataset\1\121.jpg,1
dataset\1\122.jpg,1
dataset\1\123.jpg,1
dataset\1\124.jpg,1
dataset\1\125.jpg,1
dataset\1\126.jpg,1
dataset\1\127.jpg,1
dataset\1\128.jpg,1
dataset\1\129.jpg,1
dataset\1\13.jpg,1
dataset\1\130.jpg,1
dataset\1\131.jpg,1
dataset\1\132.jpg,1
dataset\1\133.jpg,1
dataset\1\134.jpg,1
dataset\1\14.jpg,1
dataset\1\15.jpg,1
dataset\1\16.jpg,1
dataset\1\17.jpg,1
dataset\1\18.jpg,1
dataset\1\19.jpg,1
dataset\1\2.jpg,1
dataset\1\20.jpg,1
dataset\1\21.jpg,1
dataset\1\22.jpg,1
dataset\1\23.jpg,1
dataset\1\24.jpg,1
dataset\1\25.jpg,1
dataset\1\26.jpg,1
dataset\1\27.jpg,1
dataset\1\28.jpg,1
dataset\1\29.jpg,1
dataset\1\3.jpg,1
dataset\1\30.jpg,1
dataset\1\31.jpg,1
dataset\1\32.jpg,1
dataset\1\33.jpg,1
dataset\1\34.jpg,1
dataset\1\35.jpg,1
dataset\1\36.jpg,1
dataset\1\37.jpg,1
dataset\1\38.jpg,1
dataset\1\39.jpg,1
dataset\1\4.jpg,1
dataset\1\40.jpg,1
dataset\1\41.jpg,1
dataset\1\42.jpg,1
dataset\1\43.jpg,1
dataset\1\44.jpg,1
dataset\1\45.jpg,1
dataset\1\46.jpg,1
dataset\1\47.jpg,1
dataset\1\48.jpg,1
